state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,hourly_mean,annual_mean,total_employees,labels
CA,42.36,-71.06,92101,San Diego,Bandsintown,2007-01-01,2022-04-26,2009-04-01,2010-01-01,2.25,3,4.67,6.7,3,3,375000,27.5,57190,57190,1
CA,37.24,-121.97,95032,Los Gatos,TriCipher,2000-01-01,2022-04-26,2005-02-14,2009-12-28,5.13,10,7.01,7.01,9,4,40100000,61.65,128220,128220,1
CA,37.32,-122.05,95014,Cupertino,Solidcore Systems,2002-01-01,2022-04-26,2005-02-17,2007-04-25,3.13,5.32,6,6,5,3,40000000,48.78,101468.42,101468,1
CA,37.78,-122.42,94105,San Francisco,Inhale Digital,2010-08-01,2012-10-01,2010-08-01,2012-04-01,0,1.67,0.04,0.04,2,2,1300000,40.82,84910,84910,0
CA,37.39,-122.07,94041,Mountain View,RingCube Technologies,2005-01-01,2022-04-26,2006-09-21,2010-03-18,1.72,5.21,3,6.61,6,3,26000000,48.78,101468.42,101468,1
CA,38.06,-122.51,94901,San Rafael,ClairMail,2004-01-01,2022-04-26,2005-08-24,2010-10-04,1.65,6.76,5.61,7.36,25,3,34100000,40.18,83574.16,83574,1
MA,42.71,-73.2,1267,Williamstown,VoodooVox,2002-01-01,2022-04-26,2005-08-02,2013-02-08,3.59,11.11,8.01,9.99,13,3,9650000,32.33,67240,67240,1
CA,37.44,-122.16,94025,Menlo Park,Zong,2000-11-15,2022-04-26,2005-07-01,2010-04-26,4.63,9.45,10.13,10.65,22,3,27500000,32.57,67750,67750,1
NY,40.7,-73.99,11201,Brooklyn,drop.io,2007-11-26,2022-04-26,2007-12-03,2010-05-03,0.02,2.44,0.79,4.38,15,3,9950000,32.99,68621.82,68622,1
CO,39.75,-104.99,80202,Denver,Stratavia,2001-01-01,2022-04-26,2005-08-31,2009-12-29,4.67,9,8.84,8.84,12,5,10700000,42.79,89003.69,89004,1
VA,38.9,-77.27,22182,Vienna,Invicta Networks,1999-01-01,2010-03-28,2005-08-09,2005-08-09,6.61,6.61,,,0,1,200000,36.14,75172.5,75173,0
CA,37.59,-122.34,94010,Burlingame,MeeVee,2000-07-01,2022-04-26,2005-02-01,2007-09-01,4.59,7.17,-0.5,12.68,7,4,25000000,40.82,84910,84910,1
CA,37.45,-122.16,94301,Palo Alto,Bling Nation,2007-01-01,2011-09-10,2009-07-02,2009-10-30,2.5,2.83,3.09,3.49,13,2,28000000,61.65,128220,128220,0
TX,30.24,-97.8,78735,Austin,Metreos Corporation,2001-01-01,2022-04-26,2003-03-20,2004-10-14,2.21,3.79,4.09,9.5,8,2,4355000,41.18,85661.05,85661,1
CA,37.76,-122.4,94103,San Francisco,Pixelpipe,2008-01-01,2013-08-02,2007-01-01,2011-04-25,-1,3.32,3.7,5.66,4,2,2300000,32.57,67750,67750,0
CO,40.01,-105.28,80302,Boulder,EventVue,2007-05-01,2010-02-01,2007-08-01,2007-09-01,0.25,0.34,,,5,2,455000,36.99,76945,76945,0
IL,41.88,-87.62,60601,Chicago,BridgePort Networks,2002-01-01,2022-04-26,2006-11-03,2006-11-03,4.84,4.84,1,1,3,1,13000000,40.75,84754.73,84755,1
CA,37.43,-122.11,94303,Palo Alto,Scalent Systems,2003-01-01,2022-04-26,2007-01-22,2007-01-22,4.06,4.06,3,3,7,1,15000000,39.32,81790,81790,1
CA,37.87,-122.27,94704,Berkeley,IQ Engines,2008-06-01,2022-04-26,2012-06-25,2012-06-25,4.07,4.07,3.42,5.23,2,1,3800000,38.48,80031.11,80031,1
CA,33.71,-117.85,92705,Santa Ana,Mophie,2005-05-24,2022-04-26,2006-08-01,2006-08-01,1.19,1.19,2.19,7.78,5,1,1000000,38.38,79840,79840,1
WA,47.6,-122.33,98119,Seattle,Lockdown Networks,2001-01-01,2022-04-26,2005-02-25,2006-03-02,4.15,5.17,3,3,6,2,8600000,37.18,77337.5,77338,1
NC,36,-78.9,27701,Durham,eMinor,2006-10-01,2012-02-17,2006-08-01,2008-10-07,-0.17,2.02,,,9,2,5000000,38.93,80972.63,80973,0
CA,37.78,-122.42,94105,San Francisco,Karma,2011-01-01,2022-04-26,2011-01-01,2011-11-14,0,0.87,0.41,2.17,3,2,2304999,32.57,67750,67750,1
NY,40.74,-74,10011,New York,Entertainment Media Works,2004-07-01,2008-10-01,2007-02-26,2007-02-26,2.66,2.66,0,0,1,1,4000000,44.28,92095.55,92096,0
CA,37.79,-122.39,94111,San Francisco,Elastra,2007-01-01,2011-01-28,2007-08-15,2008-08-05,0.62,1.59,1,4.33,8,2,14600000,48.78,101468.42,101468,0
CA,37.4,-121.94,95134,San Jose,RPO,2005-01-01,2013-06-01,2006-01-24,2010-09-13,1.06,5.7,,,0,3,44000000,38.38,79840,79840,0
NY,40.76,-73.98,10010,New York,Peer39,2006-03-01,2022-04-26,2006-03-01,2012-01-24,0,5.9,3.84,7.14,18,7,29915001,57.19,118953.34,118953,1
NH,43,-71.45,3101,Manchester,Trendslide,2011-08-01,2022-04-26,2011-08-01,2012-03-01,0,0.58,0.58,0.59,9,2,125000,26.16,54410,54410,1
CA,40.02,-105.28,94025,Menlo Park,PublicEarth,2008-01-01,2011-02-15,2008-02-08,2010-05-21,0.1,2.39,2.33,2.79,7,2,4000000,22.35,46470,46470,0
CA,37.4,-122.03,94089,Sunnyvale,Efficient Frontier,2002-01-01,2022-04-26,2006-08-31,2006-08-31,4.67,4.67,8.74,10.22,25,1,6000000,49.91,103816.66,103817,1
CA,37.37,-122.04,94085,Sunnyvale,NetDevices,2003-01-01,2022-04-26,2005-08-16,2005-08-16,2.62,2.62,,,4,1,25000000,48.78,101468.42,101468,1
NY,40.73,-73.99,100011,New York,Go Try It On,2009-12-01,2022-04-26,2010-11-04,2012-11-13,0.93,2.95,0.83,2.74,2,3,3750000,44.08,91690,91690,1
MA,42.38,-71.11,2139,Cambridge,Performable,2009-10-17,2022-04-26,2010-01-15,2010-01-15,0.25,0.25,1.12,1.66,9,1,3000000,45.78,95215.79,95216,1
CA,37.78,-122.42,94607,San Francisco,Appstores.com,2010-05-24,2022-04-26,2010-08-01,2011-08-01,0.19,1.19,1.36,1.66,6,2,1155000,48.78,101468.42,101468,1
CA,37.56,-122.28,94404,San Mateo,Fortify Software,2002-10-01,2022-04-26,2005-12-15,2005-12-15,3.21,3.21,5.25,7.88,11,1,10000000,48.78,101468.42,101468,1
MA,42.36,-71.06,2210,Boston,AisleBuyer,2009-01-01,2022-04-26,2010-11-23,2011-06-13,1.89,2.45,2,3.28,4,2,11500000,32.33,67240,67240,1
MA,42.38,-71.24,2451,Waltham,Colubris Networks,2000-01-01,2022-04-26,2005-03-08,2006-10-23,5.19,6.81,7.33,7.33,9,2,29000000,38.12,79290,79290,1
CA,37.79,-122.4,94103,San Francisco,Mashery,2006-05-01,2022-04-26,2007-01-01,2012-07-23,0.67,6.23,4.05,7.6,37,6,34700000,61.65,128220,128220,1
CA,37.44,-122.16,94301,Palo Alto,Transparency Software,2004-01-01,2009-01-01,2005-03-09,2007-07-01,1.19,3.5,,,0,2,12050000,48.78,101468.42,101468,0
CA,37.45,-122.16,95128,Palo Alto,Viewdle,2006-01-01,2022-04-26,2008-03-01,2010-10-05,2.16,4.76,4,6.75,13,3,12000000,47.99,99812.73,99813,1
CA,33.58,-117.73,92656,Aliso Viejo,Enclarity,2005-02-01,2022-04-26,2009-03-10,2009-03-10,4.1,4.1,1.92,1.92,18,1,5500000,47.8,99420,99420,1
CA,37.4,-122.05,94089,Sunnyvale,Virsto Software,2007-07-01,2022-04-26,2009-06-26,2011-08-25,1.99,4.15,2.9,5.26,10,3,24000000,48.78,101468.42,101468,1
MO,39.1,-94.58,64106,Kansas City,Handmark,2000-07-01,2022-04-26,2005-09-12,2006-09-07,5.2,6.19,7.51,12.89,6,2,10000000,26,54080,54080,1
MA,42.55,-71.17,1887,Wilmington,Viacor,1999-12-01,2011-11-11,2002-09-12,2010-11-10,2.78,10.95,-1.92,-1.92,10,3,19009671,47.48,98770,98770,0
FL,27.95,-82.46,33609,Tampa,Skyway Software,2001-01-01,2012-10-01,2007-05-16,2007-05-16,6.37,6.37,,,0,1,4000000,36.92,76793.69,76794,0
MA,42.36,-71.06,2111,Boston,CardStar,2008-12-01,2022-04-26,2010-03-30,2011-09-13,1.33,2.78,1.67,3.13,5,3,2030882,45.78,95215.79,95216,1
WA,47.77,-122.18,98011,Bothell,Myrio,1999-12-01,2012-01-01,2001-01-01,2001-01-01,1.09,1.09,,,5,1,20500000,49.3,102540.55,102541,0
CO,40.73,-73.99,80302,Boulder,Intela,2006-02-02,2022-04-26,2010-01-18,2012-08-09,3.96,6.52,4.58,7.69,4,2,13250000,49.98,103960,103960,1
